Day-Ahead or Real-Time,timestamp,price
Real-Time Daily Average Prices,9/5/2024 12:00,2.3
Real-Time Daily Average Prices,9/5/2024 13:00,12.4
Real-Time Daily Average Prices,9/5/2024 14:00,3.2
Real-Time Daily Average Prices,9/5/2024 15:00,2.9
Real-Time Daily Average Prices,9/5/2024 16:00,3.4
Real-Time Daily Average Prices,9/5/2024 17:00,6
Real-Time Daily Average Prices,9/5/2024 18:00,3.7
Real-Time Daily Average Prices,9/5/2024 19:00,3.4
Real-Time Daily Average Prices,9/5/2024 20:00,6.1
Real-Time Daily Average Prices,9/5/2024 21:00,3.3
Real-Time Daily Average Prices,9/5/2024 22:00,4.2
Real-Time Daily Average Prices,9/5/2024 23:00,2.3
Real-Time Daily Average Prices,9/4/2024 0:00,1.2
Real-Time Daily Average Prices,9/4/2024 1:00,1.3
Real-Time Daily Average Prices,9/4/2024 2:00,1.1
Real-Time Daily Average Prices,9/4/2024 3:00,1.1
Real-Time Daily Average Prices,9/4/2024 4:00,1.1
Real-Time Daily Average Prices,9/4/2024 5:00,1.5
Real-Time Daily Average Prices,9/4/2024 6:00,2.9
Real-Time Daily Average Prices,9/4/2024 7:00,1.6
Real-Time Daily Average Prices,9/4/2024 8:00,1.3
Real-Time Daily Average Prices,9/4/2024 9:00,1.2
Real-Time Daily Average Prices,9/4/2024 10:00,1.4
Real-Time Daily Average Prices,9/4/2024 11:00,1.8
Real-Time Daily Average Prices,9/4/2024 12:00,1.6
Real-Time Daily Average Prices,9/4/2024 13:00,1.9
Real-Time Daily Average Prices,9/4/2024 14:00,2
Real-Time Daily Average Prices,9/4/2024 15:00,2.1
Real-Time Daily Average Prices,9/4/2024 16:00,3
Real-Time Daily Average Prices,9/4/2024 17:00,4.7
Real-Time Daily Average Prices,9/4/2024 18:00,5.3
Real-Time Daily Average Prices,9/4/2024 19:00,6.1
Real-Time Daily Average Prices,9/4/2024 20:00,4.7
Real-Time Daily Average Prices,9/4/2024 21:00,2.8
Real-Time Daily Average Prices,9/4/2024 22:00,2.6
Real-Time Daily Average Prices,9/4/2024 23:00,2.5
Real-Time Daily Average Prices,9/3/2024 0:00,0.5
Real-Time Daily Average Prices,9/3/2024 1:00,0.7
Real-Time Daily Average Prices,9/3/2024 2:00,0.8
Real-Time Daily Average Prices,9/3/2024 3:00,0.8
Real-Time Daily Average Prices,9/3/2024 4:00,0.9
Real-Time Daily Average Prices,9/3/2024 5:00,0.8
Real-Time Daily Average Prices,9/3/2024 6:00,0.4
Real-Time Daily Average Prices,9/3/2024 7:00,1.7
Real-Time Daily Average Prices,9/3/2024 8:00,1.2
Real-Time Daily Average Prices,9/3/2024 9:00,1.3
Real-Time Daily Average Prices,9/3/2024 10:00,1.3
Real-Time Daily Average Prices,9/3/2024 11:00,1.4
Real-Time Daily Average Prices,9/3/2024 12:00,1.7
Real-Time Daily Average Prices,9/3/2024 13:00,1.8
Real-Time Daily Average Prices,9/3/2024 14:00,2
Real-Time Daily Average Prices,9/3/2024 15:00,2.1
Real-Time Daily Average Prices,9/3/2024 16:00,2.1
Real-Time Daily Average Prices,9/3/2024 17:00,3.1
Real-Time Daily Average Prices,9/3/2024 18:00,6
Real-Time Daily Average Prices,9/3/2024 19:00,2.3
Real-Time Daily Average Prices,9/3/2024 20:00,3
Real-Time Daily Average Prices,9/3/2024 21:00,2.8
Real-Time Daily Average Prices,9/3/2024 22:00,1.4
Real-Time Daily Average Prices,9/3/2024 23:00,1.3
Real-Time Daily Average Prices,9/2/2024 0:00,2
Real-Time Daily Average Prices,9/2/2024 1:00,1.4
Real-Time Daily Average Prices,9/2/2024 2:00,1.4
Real-Time Daily Average Prices,9/2/2024 3:00,1.2
Real-Time Daily Average Prices,9/2/2024 4:00,1.2
Real-Time Daily Average Prices,9/2/2024 5:00,1.2
Real-Time Daily Average Prices,9/2/2024 6:00,1.2
Real-Time Daily Average Prices,9/2/2024 7:00,1.3
Real-Time Daily Average Prices,9/2/2024 8:00,1.1
Real-Time Daily Average Prices,9/2/2024 9:00,1.1
Real-Time Daily Average Prices,9/2/2024 10:00,1.1
Real-Time Daily Average Prices,9/2/2024 11:00,1.2
Real-Time Daily Average Prices,9/2/2024 12:00,1.5
Real-Time Daily Average Prices,9/2/2024 13:00,1.5
Real-Time Daily Average Prices,9/2/2024 14:00,1.6
Real-Time Daily Average Prices,9/2/2024 15:00,1.7
Real-Time Daily Average Prices,9/2/2024 16:00,2.3
Real-Time Daily Average Prices,9/2/2024 17:00,2.6
Real-Time Daily Average Prices,9/2/2024 18:00,3.3
Real-Time Daily Average Prices,9/2/2024 19:00,3.1
Real-Time Daily Average Prices,9/2/2024 20:00,2.5
Real-Time Daily Average Prices,9/2/2024 21:00,1.9
Real-Time Daily Average Prices,9/2/2024 22:00,1.4
Real-Time Daily Average Prices,9/2/2024 23:00,0.9
Real-Time Daily Average Prices,9/1/2024 0:00,1.7
Real-Time Daily Average Prices,9/1/2024 1:00,1.6
Real-Time Daily Average Prices,9/1/2024 2:00,1.4
Real-Time Daily Average Prices,9/1/2024 3:00,1.1
Real-Time Daily Average Prices,9/1/2024 4:00,1.1
Real-Time Daily Average Prices,9/1/2024 5:00,1
Real-Time Daily Average Prices,9/1/2024 6:00,1.1
Real-Time Daily Average Prices,9/1/2024 7:00,1.1
Real-Time Daily Average Prices,9/1/2024 8:00,1.1
Real-Time Daily Average Prices,9/1/2024 9:00,1.9
Real-Time Daily Average Prices,9/1/2024 10:00,2
Real-Time Daily Average Prices,9/1/2024 11:00,2
Real-Time Daily Average Prices,9/1/2024 12:00,1.8
Real-Time Daily Average Prices,9/1/2024 13:00,1.7
Real-Time Daily Average Prices,9/1/2024 14:00,2
Real-Time Daily Average Prices,9/1/2024 15:00,2.3
Real-Time Daily Average Prices,9/1/2024 16:00,2.5
Real-Time Daily Average Prices,9/1/2024 17:00,2.8
Real-Time Daily Average Prices,9/1/2024 18:00,2.6
Real-Time Daily Average Prices,9/1/2024 19:00,2.2
Real-Time Daily Average Prices,9/1/2024 20:00,2.2
Real-Time Daily Average Prices,9/1/2024 21:00,2.6
Real-Time Daily Average Prices,9/1/2024 22:00,2.3
Real-Time Daily Average Prices,9/1/2024 23:00,1.6
Real-Time Daily Average Prices,8/31/2024 0:00,1.9
Real-Time Daily Average Prices,8/31/2024 1:00,1.6
Real-Time Daily Average Prices,8/31/2024 2:00,1.6
Real-Time Daily Average Prices,8/31/2024 3:00,1.3
Real-Time Daily Average Prices,8/31/2024 4:00,1.2
Real-Time Daily Average Prices,8/31/2024 5:00,1.3
Real-Time Daily Average Prices,8/31/2024 6:00,1.3
Real-Time Daily Average Prices,8/31/2024 7:00,1.3
Real-Time Daily Average Prices,8/31/2024 8:00,1.5
Real-Time Daily Average Prices,8/31/2024 9:00,1.8
Real-Time Daily Average Prices,8/31/2024 10:00,2.5
Real-Time Daily Average Prices,8/31/2024 11:00,2.3
Real-Time Daily Average Prices,8/31/2024 12:00,4.2
Real-Time Daily Average Prices,8/31/2024 13:00,3
Real-Time Daily Average Prices,8/31/2024 14:00,6.4
Real-Time Daily Average Prices,8/31/2024 15:00,3.4
Real-Time Daily Average Prices,8/31/2024 16:00,3.4
Real-Time Daily Average Prices,8/31/2024 17:00,5.5
Real-Time Daily Average Prices,8/31/2024 18:00,4.2
Real-Time Daily Average Prices,8/31/2024 19:00,3.9
Real-Time Daily Average Prices,8/31/2024 20:00,3.3
Real-Time Daily Average Prices,8/31/2024 21:00,3.2
Real-Time Daily Average Prices,8/31/2024 22:00,2.2
Real-Time Daily Average Prices,8/31/2024 23:00,1.7
Real-Time Daily Average Prices,8/30/2024 0:00,2.5
Real-Time Daily Average Prices,8/30/2024 1:00,2.1
Real-Time Daily Average Prices,8/30/2024 2:00,1.7
Real-Time Daily Average Prices,8/30/2024 3:00,1.5
Real-Time Daily Average Prices,8/30/2024 4:00,1.7
Real-Time Daily Average Prices,8/30/2024 5:00,1.7
Real-Time Daily Average Prices,8/30/2024 6:00,2.3
Real-Time Daily Average Prices,8/30/2024 7:00,2.6
Real-Time Daily Average Prices,8/30/2024 8:00,2.5
Real-Time Daily Average Prices,8/30/2024 9:00,2.6
Real-Time Daily Average Prices,8/30/2024 10:00,3.3
Real-Time Daily Average Prices,8/30/2024 11:00,3.5
Real-Time Daily Average Prices,8/30/2024 12:00,4
Real-Time Daily Average Prices,8/30/2024 13:00,4.8
Real-Time Daily Average Prices,8/30/2024 14:00,3.9
Real-Time Daily Average Prices,8/30/2024 15:00,7.7
Real-Time Daily Average Prices,8/30/2024 16:00,14.3
Real-Time Daily Average Prices,8/30/2024 17:00,5.4
Real-Time Daily Average Prices,8/30/2024 18:00,5.3
Real-Time Daily Average Prices,8/30/2024 19:00,9.2
Real-Time Daily Average Prices,8/30/2024 20:00,4.6
Real-Time Daily Average Prices,8/30/2024 21:00,3.5
Real-Time Daily Average Prices,8/30/2024 22:00,3.1
Real-Time Daily Average Prices,8/30/2024 23:00,2.3
Real-Time Daily Average Prices,8/29/2024 0:00,3.2
Real-Time Daily Average Prices,8/29/2024 1:00,2.6
Real-Time Daily Average Prices,8/29/2024 2:00,2.1
Real-Time Daily Average Prices,8/29/2024 3:00,1.9
Real-Time Daily Average Prices,8/29/2024 4:00,1.7
Real-Time Daily Average Prices,8/29/2024 5:00,2.8
Real-Time Daily Average Prices,8/29/2024 6:00,2.6
Real-Time Daily Average Prices,8/29/2024 7:00,2.9
Real-Time Daily Average Prices,8/29/2024 8:00,2.8
Real-Time Daily Average Prices,8/29/2024 9:00,2.9
Real-Time Daily Average Prices,8/29/2024 10:00,3
Real-Time Daily Average Prices,8/29/2024 11:00,3.9
Real-Time Daily Average Prices,8/29/2024 12:00,5
Real-Time Daily Average Prices,8/29/2024 13:00,6.5
Real-Time Daily Average Prices,8/29/2024 14:00,6.8
Real-Time Daily Average Prices,8/29/2024 15:00,3.3
Real-Time Daily Average Prices,8/29/2024 16:00,4.2
Real-Time Daily Average Prices,8/29/2024 17:00,5.3
Real-Time Daily Average Prices,8/29/2024 18:00,4.6
Real-Time Daily Average Prices,8/29/2024 19:00,4.6
Real-Time Daily Average Prices,8/29/2024 20:00,4
Real-Time Daily Average Prices,8/29/2024 21:00,3.6
Real-Time Daily Average Prices,8/29/2024 22:00,3.8
Real-Time Daily Average Prices,8/29/2024 23:00,3
Real-Time Daily Average Prices,8/28/2024 0:00,2.1
Real-Time Daily Average Prices,8/28/2024 1:00,1.7
Real-Time Daily Average Prices,8/28/2024 2:00,1.5
Real-Time Daily Average Prices,8/28/2024 3:00,1.4
Real-Time Daily Average Prices,8/28/2024 4:00,1.4
Real-Time Daily Average Prices,8/28/2024 5:00,1.8
Real-Time Daily Average Prices,8/28/2024 6:00,2.6
Real-Time Daily Average Prices,8/28/2024 7:00,2.7
Real-Time Daily Average Prices,8/28/2024 8:00,2.3
Real-Time Daily Average Prices,8/28/2024 9:00,2
Real-Time Daily Average Prices,8/28/2024 10:00,2.5
Real-Time Daily Average Prices,8/28/2024 11:00,3.7
Real-Time Daily Average Prices,8/28/2024 12:00,3
Real-Time Daily Average Prices,8/28/2024 13:00,3.3
Real-Time Daily Average Prices,8/28/2024 14:00,3.4
Real-Time Daily Average Prices,8/28/2024 15:00,3.1
Real-Time Daily Average Prices,8/28/2024 16:00,7.1
Real-Time Daily Average Prices,8/28/2024 17:00,6.6
Real-Time Daily Average Prices,8/28/2024 18:00,7.7
Real-Time Daily Average Prices,8/28/2024 19:00,5.2
Real-Time Daily Average Prices,8/28/2024 20:00,3.7
Real-Time Daily Average Prices,8/28/2024 21:00,3.6
Real-Time Daily Average Prices,8/28/2024 22:00,3.2
Real-Time Daily Average Prices,8/28/2024 23:00,3
Real-Time Daily Average Prices,8/27/2024 0:00,2.3
Real-Time Daily Average Prices,8/27/2024 1:00,2.2
Real-Time Daily Average Prices,8/27/2024 2:00,1.9
Real-Time Daily Average Prices,8/27/2024 3:00,1.4
Real-Time Daily Average Prices,8/27/2024 4:00,1.5
Real-Time Daily Average Prices,8/27/2024 5:00,1.6
Real-Time Daily Average Prices,8/27/2024 6:00,2.6
Real-Time Daily Average Prices,8/27/2024 7:00,2.6
Real-Time Daily Average Prices,8/27/2024 8:00,2.1
Real-Time Daily Average Prices,8/27/2024 9:00,2.3
Real-Time Daily Average Prices,8/27/2024 10:00,4.4
Real-Time Daily Average Prices,8/27/2024 11:00,6.8
Real-Time Daily Average Prices,8/27/2024 12:00,6.3
Real-Time Daily Average Prices,8/27/2024 13:00,6.5
Real-Time Daily Average Prices,8/27/2024 14:00,16.5
Real-Time Daily Average Prices,8/27/2024 15:00,13.9
Real-Time Daily Average Prices,8/27/2024 16:00,18.9
Real-Time Daily Average Prices,8/27/2024 17:00,27.8
Real-Time Daily Average Prices,8/27/2024 18:00,44.2
Real-Time Daily Average Prices,8/27/2024 19:00,14.3
Real-Time Daily Average Prices,8/27/2024 20:00,4.9
Real-Time Daily Average Prices,8/27/2024 21:00,3.1
Real-Time Daily Average Prices,8/27/2024 22:00,2.7
Real-Time Daily Average Prices,8/27/2024 23:00,2.4
Real-Time Daily Average Prices,8/26/2024 0:00,2.3
Real-Time Daily Average Prices,8/26/2024 1:00,2.6
Real-Time Daily Average Prices,8/26/2024 2:00,1.4
Real-Time Daily Average Prices,8/26/2024 3:00,1.3
Real-Time Daily Average Prices,8/26/2024 4:00,1.6
Real-Time Daily Average Prices,8/26/2024 5:00,2.2
Real-Time Daily Average Prices,8/26/2024 6:00,2.7
Real-Time Daily Average Prices,8/26/2024 7:00,2.2
Real-Time Daily Average Prices,8/26/2024 8:00,1.7
Real-Time Daily Average Prices,8/26/2024 9:00,2.9
Real-Time Daily Average Prices,8/26/2024 10:00,3.8
Real-Time Daily Average Prices,8/26/2024 11:00,5.2
Real-Time Daily Average Prices,8/26/2024 12:00,7.1
Real-Time Daily Average Prices,8/26/2024 13:00,4.6
Real-Time Daily Average Prices,8/26/2024 14:00,18.7
Real-Time Daily Average Prices,8/26/2024 15:00,9.4
Real-Time Daily Average Prices,8/26/2024 16:00,27.8
Real-Time Daily Average Prices,8/26/2024 17:00,14.1
Real-Time Daily Average Prices,8/26/2024 18:00,22.8
Real-Time Daily Average Prices,8/26/2024 19:00,21
Real-Time Daily Average Prices,8/26/2024 20:00,9.1
Real-Time Daily Average Prices,8/26/2024 21:00,3.9
Real-Time Daily Average Prices,8/26/2024 22:00,3.2
Real-Time Daily Average Prices,8/26/2024 23:00,3.1
Real-Time Daily Average Prices,8/25/2024 0:00,1.3
Real-Time Daily Average Prices,8/25/2024 1:00,1.3
Real-Time Daily Average Prices,8/25/2024 2:00,1.3
Real-Time Daily Average Prices,8/25/2024 3:00,1.2
Real-Time Daily Average Prices,8/25/2024 4:00,1.1
Real-Time Daily Average Prices,8/25/2024 5:00,1.1
Real-Time Daily Average Prices,8/25/2024 6:00,1.1
Real-Time Daily Average Prices,8/25/2024 7:00,1.1
Real-Time Daily Average Prices,8/25/2024 8:00,1.1
Real-Time Daily Average Prices,8/25/2024 9:00,1.3
Real-Time Daily Average Prices,8/25/2024 10:00,1.9
Real-Time Daily Average Prices,8/25/2024 11:00,2.1
Real-Time Daily Average Prices,8/25/2024 12:00,3.5
Real-Time Daily Average Prices,8/25/2024 13:00,4
Real-Time Daily Average Prices,8/25/2024 14:00,3.3
Real-Time Daily Average Prices,8/25/2024 15:00,4.1
Real-Time Daily Average Prices,8/25/2024 16:00,4.9
Real-Time Daily Average Prices,8/25/2024 17:00,5.8
Real-Time Daily Average Prices,8/25/2024 18:00,15.8
Real-Time Daily Average Prices,8/25/2024 19:00,9.1
Real-Time Daily Average Prices,8/25/2024 20:00,4.3
Real-Time Daily Average Prices,8/25/2024 21:00,3.9
Real-Time Daily Average Prices,8/25/2024 22:00,3.3
Real-Time Daily Average Prices,8/25/2024 23:00,3.1
Real-Time Daily Average Prices,8/24/2024 0:00,1.2
Real-Time Daily Average Prices,8/24/2024 1:00,1.4
Real-Time Daily Average Prices,8/24/2024 2:00,1.1
Real-Time Daily Average Prices,8/24/2024 3:00,1.1
Real-Time Daily Average Prices,8/24/2024 4:00,1.1
Real-Time Daily Average Prices,8/24/2024 5:00,1.1
Real-Time Daily Average Prices,8/24/2024 6:00,1.1
Real-Time Daily Average Prices,8/24/2024 7:00,1
Real-Time Daily Average Prices,8/24/2024 8:00,1
Real-Time Daily Average Prices,8/24/2024 9:00,1.1
Real-Time Daily Average Prices,8/24/2024 10:00,1.2
Real-Time Daily Average Prices,8/24/2024 11:00,1.3
Real-Time Daily Average Prices,8/24/2024 12:00,2
Real-Time Daily Average Prices,8/24/2024 13:00,2.7
Real-Time Daily Average Prices,8/24/2024 14:00,2.1
Real-Time Daily Average Prices,8/24/2024 15:00,3.5
Real-Time Daily Average Prices,8/24/2024 16:00,4.7
Real-Time Daily Average Prices,8/24/2024 17:00,6.6
Real-Time Daily Average Prices,8/24/2024 18:00,19
Real-Time Daily Average Prices,8/24/2024 19:00,4
Real-Time Daily Average Prices,8/24/2024 20:00,3.9
Real-Time Daily Average Prices,8/24/2024 21:00,2.9
Real-Time Daily Average Prices,8/24/2024 22:00,2.8
Real-Time Daily Average Prices,8/24/2024 23:00,2
Real-Time Daily Average Prices,8/23/2024 0:00,1.2
Real-Time Daily Average Prices,8/23/2024 1:00,1.3
Real-Time Daily Average Prices,8/23/2024 2:00,0.5
Real-Time Daily Average Prices,8/23/2024 3:00,0.9
Real-Time Daily Average Prices,8/23/2024 4:00,0.6
Real-Time Daily Average Prices,8/23/2024 5:00,0.7
Real-Time Daily Average Prices,8/23/2024 6:00,1.4
Real-Time Daily Average Prices,8/23/2024 7:00,1.4
Real-Time Daily Average Prices,8/23/2024 8:00,1.4
Real-Time Daily Average Prices,8/23/2024 9:00,1.4
Real-Time Daily Average Prices,8/23/2024 10:00,1.3
Real-Time Daily Average Prices,8/23/2024 11:00,1.6
Real-Time Daily Average Prices,8/23/2024 12:00,1.6
Real-Time Daily Average Prices,8/23/2024 13:00,2
Real-Time Daily Average Prices,8/23/2024 14:00,2.1
Real-Time Daily Average Prices,8/23/2024 15:00,2.7
Real-Time Daily Average Prices,8/23/2024 16:00,3.7
Real-Time Daily Average Prices,8/23/2024 17:00,3.8
Real-Time Daily Average Prices,8/23/2024 18:00,3.7
Real-Time Daily Average Prices,8/23/2024 19:00,2.7
Real-Time Daily Average Prices,8/23/2024 20:00,2.9
Real-Time Daily Average Prices,8/23/2024 21:00,3.2
Real-Time Daily Average Prices,8/23/2024 22:00,2.4
Real-Time Daily Average Prices,8/23/2024 23:00,1.5
Real-Time Daily Average Prices,8/22/2024 0:00,1.3
Real-Time Daily Average Prices,8/22/2024 1:00,1.3
Real-Time Daily Average Prices,8/22/2024 2:00,1.2
Real-Time Daily Average Prices,8/22/2024 3:00,1.1
Real-Time Daily Average Prices,8/22/2024 4:00,1.2
Real-Time Daily Average Prices,8/22/2024 5:00,1.2
Real-Time Daily Average Prices,8/22/2024 6:00,1.6
Real-Time Daily Average Prices,8/22/2024 7:00,1.3
Real-Time Daily Average Prices,8/22/2024 8:00,1.3
Real-Time Daily Average Prices,8/22/2024 9:00,1.2
Real-Time Daily Average Prices,8/22/2024 10:00,1.3
Real-Time Daily Average Prices,8/22/2024 11:00,1.3
Real-Time Daily Average Prices,8/22/2024 12:00,1.6
Real-Time Daily Average Prices,8/22/2024 13:00,1.7
Real-Time Daily Average Prices,8/22/2024 14:00,1.8
Real-Time Daily Average Prices,8/22/2024 15:00,2
Real-Time Daily Average Prices,8/22/2024 16:00,2.1
Real-Time Daily Average Prices,8/22/2024 17:00,2.6
Real-Time Daily Average Prices,8/22/2024 18:00,6.8
Real-Time Daily Average Prices,8/22/2024 19:00,4.4
Real-Time Daily Average Prices,8/22/2024 20:00,2.5
Real-Time Daily Average Prices,8/22/2024 21:00,2.1
Real-Time Daily Average Prices,8/22/2024 22:00,1.7
Real-Time Daily Average Prices,8/22/2024 23:00,1.5
Real-Time Daily Average Prices,8/21/2024 0:00,1.2
Real-Time Daily Average Prices,8/21/2024 1:00,1.4
Real-Time Daily Average Prices,8/21/2024 2:00,1.3
Real-Time Daily Average Prices,8/21/2024 3:00,1.2
Real-Time Daily Average Prices,8/21/2024 4:00,1.2
Real-Time Daily Average Prices,8/21/2024 5:00,1.5
Real-Time Daily Average Prices,8/21/2024 6:00,2.4
Real-Time Daily Average Prices,8/21/2024 7:00,1.4
Real-Time Daily Average Prices,8/21/2024 8:00,1.2
Real-Time Daily Average Prices,8/21/2024 9:00,1.2
Real-Time Daily Average Prices,8/21/2024 10:00,1.3
Real-Time Daily Average Prices,8/21/2024 11:00,1.4
Real-Time Daily Average Prices,8/21/2024 12:00,1.6
Real-Time Daily Average Prices,8/21/2024 13:00,1.6
Real-Time Daily Average Prices,8/21/2024 14:00,1.4
Real-Time Daily Average Prices,8/21/2024 16:00,2.2
Real-Time Daily Average Prices,8/21/2024 17:00,2.4
Real-Time Daily Average Prices,8/21/2024 18:00,2.4
Real-Time Daily Average Prices,8/21/2024 19:00,2.7
Real-Time Daily Average Prices,8/21/2024 20:00,3
Real-Time Daily Average Prices,8/21/2024 21:00,2.2
Real-Time Daily Average Prices,8/21/2024 22:00,1.6
Real-Time Daily Average Prices,8/21/2024 23:00,1.4
Real-Time Daily Average Prices,8/20/2024 0:00,1.4
Real-Time Daily Average Prices,8/20/2024 1:00,1.2
Real-Time Daily Average Prices,8/20/2024 2:00,1.2
Real-Time Daily Average Prices,8/20/2024 3:00,1.1
Real-Time Daily Average Prices,8/20/2024 4:00,1.1
Real-Time Daily Average Prices,8/20/2024 5:00,1.2
